time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.216000,0.4711,-0.0505,3.7348,3.765
1.220000,0.4869,-0.1534,3.7439,3.779
1.225000,0.5660,-0.2159,3.7899,3.838
1.231000,0.6769,-0.2387,3.9634,4.028
1.235000,0.8122,-0.2446,4.1950,4.280
1.239000,0.9212,-0.2678,4.3390,4.444
1.244000,0.9745,-0.3092,4.3169,4.436
1.249000,0.9593,-0.2902,4.1631,4.282
1.253000,0.8798,-0.1851,3.9617,4.062
1.258000,0.7405,-0.0829,3.7488,3.822
1.265000,0.5863,-0.0768,3.4982,3.548
1.268000,0.4343,-0.1527,3.2483,3.281
1.273000,0.2831,-0.2504,3.0223,3.046
1.277000,0.1597,-0.3674,2.7532,2.782
1.282000,0.0829,-0.5038,2.4171,2.470
1.287000,0.0183,-0.6596,2.0482,2.152
1.292000,-0.0423,-0.7854,1.6729,1.849
1.296000,-0.0323,-0.8130,1.3822,1.604
1.302000,-0.0204,-0.8071,1.1039,1.368
1.306000,-0.0728,-0.8786,0.5704,1.050
1.310000,-0.1082,-1.0639,-0.2560,1.100
1.316000,-0.1156,-1.2870,-1.2091,1.770
1.320000,-0.1342,-1.4535,-2.0877,2.547
1.325000,-0.1433,-1.5462,-2.7841,3.188
1.329000,-0.1148,-1.6393,-3.3127,3.698
1.334000,-0.0548,-1.7474,-3.6878,4.081
1.339000,0.0544,-1.7971,-3.9046,4.299
1.345000,0.3050,-1.7203,-3.9322,4.303
1.349000,0.6321,-1.5061,-3.8378,4.171
1.353000,0.8491,-1.2722,-3.8105,4.106
1.358000,0.9330,-1.1043,-3.8957,4.155
1.363000,0.9711,-1.0133,-4.0050,4.244
1.368000,1.0154,-0.9932,-4.0553,4.297
1.373000,1.0105,-1.0666,-4.0164,4.277
1.377000,0.9691,-1.2515,-3.9292,4.236
1.382000,0.9730,-1.4881,-3.7964,4.192
1.387000,0.9816,-1.6787,-3.6158,4.106
1.392000,0.9617,-1.7854,-3.4307,3.985
1.399000,1.0140,-1.7730,-3.2650,3.851
1.402000,1.1341,-1.6561,-3.1214,3.711
1.406000,1.2009,-1.5468,-2.9978,3.581
1.411000,1.2177,-1.4955,-2.8419,3.435
1.415000,1.2355,-1.4356,-2.5276,3.159
1.420000,1.2071,-1.3629,-2.1485,2.816
1.425000,1.0823,-1.3419,-1.8650,2.540
1.429000,0.8585,-1.3824,-1.5882,2.274
1.435000,0.6015,-1.4520,-1.2125,1.985
1.439000,0.3816,-1.5038,-0.7949,1.743
1.443000,0.1829,-1.5386,-0.4880,1.624
1.448000,-0.0599,-1.5563,-0.3938,1.606
1.453000,-0.3087,-1.5514,-0.4544,1.646
1.458000,-0.4777,-1.5305,-0.5476,1.694
1.463000,-0.5312,-1.4649,-0.5850,1.664
1.468000,-0.4955,-1.3472,-0.5259,1.529
1.472000,-0.4493,-1.2186,-0.4091,1.362
1.477000,-0.4379,-1.1121,-0.3397,1.243
1.483000,-0.4612,-1.0058,-0.3321,1.155
1.487000,-0.4535,-0.8874,-0.3101,1.044
1.493000,-0.4019,-0.7469,-0.2764,0.892
1.496000,-0.3293,-0.6004,-0.2962,0.746
1.501000,-0.2015,-0.4643,-0.3385,0.609
1.506000,-0.0151,-0.2477,-0.2843,0.377
1.510000,0.1448,0.0115,-0.1462,0.206
1.515000,0.2366,0.1848,-0.0419,0.303
